2022-12-05 09:44:57.622 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 09:58:04.722 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15363 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:58:04.725 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:59:54.925 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 15416 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:59:54.926 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:59:54.942 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 09:59:54.943 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 09:59:54.943 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 09:59:54.943 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 09:59:54.949 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 09:59:54.949 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 23 ms
2022-12-05 09:59:54.956 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 10:05:31.216 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15466 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 10:05:31.218 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 10:07:17.075 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15525 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 10:07:17.078 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 10:09:08.149 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 15587 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 10:09:08.149 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 10:09:08.166 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 10:09:08.166 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 10:09:08.167 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 10:09:08.167 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 10:09:08.172 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 10:09:08.172 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 23 ms
2022-12-05 10:09:08.180 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 10:13:41.810 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15630 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 10:13:41.812 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 10:15:27.199 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 15682 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 10:15:27.199 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 10:15:27.216 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 10:15:27.216 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 10:15:27.217 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 10:15:27.217 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 10:15:27.222 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 10:15:27.222 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 23 ms
2022-12-05 10:15:27.229 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
